序号,曲目名称,演奏形式,作曲,编曲/配器,编曲/配器_2,库存编号,实体区域,总分谱,PDF,Sibelius,Finale,Encore,MIDI,录音（日期+单位）,视频（日期+单位）,备注,标签
159,屈原：《九歌》之“东皇太一”（祭祀乐）第二版,民族管弦乐,李复斌,,,CO-JG0005.2010,A4-4,总谱 分谱,,,,,,,,,李复斌原创
160,橘红飘香,民族管弦乐,,,,CO-JH0006.2015,A4-4,总谱 分谱,,,,,,,,,广东
161,江河云梦,民族管弦乐,梁云江,,,CO-JH0007,A4-4,分谱,,,,,,,,,
162,将军令（广东汉乐）,民族管弦乐,,,,CO-JJ0008.2005,A4-4,手写总谱,✓,✓,,,,,,,"广东,广东汉乐"
163,将军令（广东汉乐合奏）,民族管弦乐,,,李复斌,CO-JJ0008.2006,A4-4,总谱 分谱,,,,,,,,,"广东,广东汉乐"
164,将军令（广东汉乐合奏）,民族管弦乐,,,李复斌,CO-JJ0008.2006（2）,A4-4,总谱 分谱,,,,,,,,,"广东,广东汉乐"
165,将军令（古曲）,民族管弦乐,,,顾冠仁,CO-JJ0009,A4-4,总谱,,,,,,,,,
166,江姐组曲,民族管弦乐,羊鸣 姜春阳 金砂,丁家琳,,CO-JJ0010,A4-4,分谱,,,,,,,,第1-8乐章,"江姐,经典歌剧"
,配乐朗诵《将进酒》,民族管弦乐,李复斌,,,CO-JJ0011,曲库电脑,总谱 分谱,✓,✓,,,,,,,
167,加勒比海盗,民族管弦乐,Klaus Badelt,,李复斌,CO-JL0011.2010,A4-4,总谱 分谱,,✓,✓,,,,,PIRATES of the CARIBBEAN,"外国作品,影视"
168,加勒比海盗,民族管弦乐,Klaus Badelt,,李复斌,CO-JL0011.2010(2),A4-4,总谱 分谱,,✓,✓,,,,,PIRATES of the CARIBBEAN,"外国作品,影视"
169,旧梦不须记,民族管弦乐,黄沾,李复斌,,CO-JM0012.2011,A4-5,总谱 分谱,,,,,,,,,歌曲改编
170,江南好,民族管弦乐,,李复斌,,CO-JN0013.2005,A4-5,总谱 分谱,,,,,,,,,江南丝竹
171,江南风韵（2001改编）,民族管弦乐,,,,CO-JN0014.2001,A4-5,总谱,,,,,,,,solo广泛可合奏可独奏：曲笛 二胡 古筝三重奏与乐队,江南丝竹
172,节庆欢舞,民族管弦乐,卢亮辉,,,CO-JQ0015,A4-5,总谱,,,,,,,,,
173,金蛇狂舞,民族管弦乐,,李复斌,聂耳,CO-JS0016,A4-5,总谱 分谱,,,,,,,,,经典作品
174,锦上添花,民族管弦乐,,,梁军,CO-JS0017.2017,A4-5,总谱,,,,,,,,,
175,江山多娇（无歌词）,民族管弦乐与合唱,陈述刘,李复斌,,CO-JS0018,,总谱 分谱,,,,,,,,,歌曲改编
,江山多娇（无歌词）,民族管弦乐与合唱,陈述刘,李复斌,,CO-JS0018,,总谱 分谱,,,,,,,,,
,金蛇辞旧马踏春,民族管弦乐,李复斌,,,CO-JS0019.2025,曲库电脑,总谱 分谱,✓,✓,,,✓,,,mm. 1-104金蛇狂舞+mm. 123-246赛马（黄海怀）,经典作品
176,孔雀开屏,民族管弦乐,何大傻,汤凯旋,,CO-KQ00001,A4-5,手写总谱,,,,,,,,广东音乐合奏，李复斌整理,广东
177,开场曲,民族管弦乐,,,,CO-KC0002,A4-5,总谱,,,,,,,,,
178,快乐的啰嗦,中西混编管弦乐,彝族民歌,李复斌,,CO-KL0003.,A4-5,总谱,,,,,,,,,"四川,彝族民歌"
179,快乐的啰嗦,民族管弦乐,彝族民歌,,李复斌,CO-KL0003.2020,A4-5,总谱 分谱,✓,✓,,,,,,,"四川,彝族民歌"
180,卡门组曲NO.2间奏曲,民族管弦乐,Georges Bizet,李复斌,,CO-KM0004.2021,A4-5,总谱,,,,,,,,李复斌收藏音乐作品系列,"外国作品,法国,卡门组曲"
181,龙船调,民族管弦乐,,,李复斌,CO-LC0001,A4-5,总谱 分谱,,,,,,,,,湖北
182,拉德斯基进行曲,民族管弦乐,Johann Strauss,,李复斌,CO-LD0002,A4-5,总谱,,,,,,,,,"外国作品,奥地利"
183,拉德斯基进行曲,民族管弦乐,Johann Strauss,顾冠仁,,CO-LD0003,A4-5,简分谱,,,,,,,,,"外国作品,奥地利"
184,拉德斯基进行曲（短版）,民族管弦乐,Johann Strauss,,李复斌,CO-LD0003,曲库电脑,总谱 分谱,✓,✓,✓,,,,,,"外国作品,奥地利"
185,岭南音诗,民族管弦乐,李复斌,,,CO-LN0004.2023,A4-6,总谱,,,,,,,,中国管弦乐交响诗,"广东,李复斌原创"
186,岭南长风,民族管弦乐,李复斌,,,CO-LN0005.2019,A4-6,总谱,,,,,,,,,"广东,李复斌原创"
187,“鲁斯兰与柳德米拉”序曲,民族管弦乐,格林卡（俄）,,李复斌,CO-LS0006,A4-6,总谱 分谱,,,,,,,,Russlan and Ludmilla,"外国作品,俄罗斯"
188,“鲁斯兰与柳德米拉”序曲,民族管弦乐,格林卡（俄）,,李复斌,CO-LS0007,A4-6,总谱,,,,,,,,Russlan and Ludmilla 第二版,"外国作品,俄罗斯"
189,浪淘沙,民族管弦乐,潮州民间乐曲,,李复斌,CO-LT0008.2002,A4-6,总谱,,,,,,,,,"广东,潮州音乐"
190,浪淘沙（潮州音乐合奏）根据同名潮州音乐改编,民族管弦乐,李复斌,,,CO-LT000910.2008,A4-6,总谱 分谱,,,,,,,,,"广东,潮州音乐"
191,龙腾虎跃,民族管弦乐,李民雄,,,CO-LT00101,A4-6,手写总谱 简分谱,,,,,,,,,经典作品
192,龙腾虎跃,民族管弦乐,李民雄,李复斌,李复斌,CO-LT0011.2005,A4-6,总谱,,,,,,,,,经典作品
193,龙腾虎跃,民族管弦乐,李民雄,李复斌,李复斌,CO-LT0011.2009,A4-6,总谱 分谱,,,,,,,,,经典作品
194,龙腾虎跃,民族管弦乐,,,,CO-LT0011.2015,A4-6,总谱,,,,,,,,,经典作品
195,龙腾虎跃,民族管弦乐,李民雄,李复斌,李复斌,CO-LT0011.2018,A4-6,简/线总谱 简/线分谱,✓,✓,,,,,,,经典作品
196,良宵,民族管弦乐,刘天华,李复斌,,CO-LX0012,A4-6,总谱,,,,,,,,,
197,乱云飞,民族管弦乐,根据革命现代京剧《杜鹃山》同名唱段改编,,彭修文,CO-LY0013,A4-6,简总谱,,,,,,,,,京剧改编
198,两只老虎（少儿版）,民族管弦乐,法国童谣,,李复斌,CO-LZ0014,A4-6,总谱,,,,,,,,,"外国作品,法国,少儿"
199,黎族舞曲,民族管弦乐,,,,CO-LZ0015,A4-6,总谱 分谱,,,,,,,,,海南
200,荔枝颂,民族管弦乐,粤语歌曲,李复斌,李复斌,CO-LZ0016,A4-6,总谱 分谱,,,,,,,,,"广东,粤曲"
,落雨大,民族管弦乐,广东童谣,,李复斌,CO-LY0017.2025.12.29,电子曲库,总谱 分谱,✔️,✔️,,,,,,民族乐队、民族管弦乐伴奏版、女生合唱,
201,马刀舞曲,民族管弦乐,哈恰图良（俄）,李复斌,,CO-MD0001,B3-1,总谱 分谱,,,,,,,,,"外国作品,俄罗斯"
202,马刀舞曲（扩展版）,民族管弦乐,哈恰图良（俄）,,李复斌,CO-MD0002.2021,B3-1,总谱,✓,✓,,,,,,,"外国作品,俄罗斯"
203,马灯调,民族管弦乐,宁波民间歌曲,,李复斌,CO-MD0003,B3-1,总谱,,✓,,,,,,,宁波
204,穆桂英挂帅,民族管弦乐,,,杨培贤,CO-MG0004,B3-1,总谱,,,,,,,,,京剧改编
205,梅花三弄,民族管弦乐,,,,CO-ML0005,B3-1,总谱,,,,,,,,合谱：琴箫  演奏：吴景略  记谱：许健,古曲
206,马里奥兄弟组曲,民族管弦乐,,,陈家荣,CO-ML0006,B3-1,总谱,,,,,,,,,"外国作品,游戏"
207,茉莉花,民族管弦乐,江苏民歌,,,CO-ML0007,B3-1,总谱 分谱,,,,✓,,,,,江苏
208,苗山夜,民族管弦乐,李复斌,,,CO-MS0008,B3-1,总谱,,,,,,,,,李复斌原创
209,民族乐队合奏练习曲集,民族管弦乐,,,,CO-MZ0009,B3-1,总谱 分谱,,,,,,,,不完整总谱，完整分谱,书籍
210,梦正圆,民族管弦乐,,,,CO-MZ0010,B3-1,总谱 分谱,,,,,,,,,
211,莫扎特主题随想,民族管弦乐,,,,CO-MZ0011,B3-1,总谱 分谱,,,✓,,,,,,外国作品
212,鸟投林,民族管弦乐,,李复斌,,CO-NT0001.1998,B3-1,总谱,,,,,,,,,广东
213,南粤忆事,民族管弦乐,,,,CO-NY0002,B3-1,总谱,✓,✓,,,,,,配乐朗诵,广东
214,南粤忆事（民族交响叙事诗）,民族管弦乐,李复斌,,,CO-NY0002.2000,B3-1,总谱 分谱,,,,,,,,,"广东,李复斌原创"
215,南粤忆事（民族交响叙事诗）,民族管弦乐,李复斌,,,CO-NY0002.2012,B3-1,总谱 分谱,,,,,,,,,"广东,李复斌原创"
216,南粤忆事（中国管弦乐交响诗）,民族管弦乐,李复斌,,,CO-NY0002.2023,B3-1,总谱,,,,,,,,,"广东,李复斌原创"
217,"Overture to ""candide""",民族管弦乐,Leonard Bernstein,,,CO-OT0001,,总谱,,,,,,,,,"外国作品,美国,轻歌剧"
218,平湖秋月,民族管弦乐,李复斌,,,CO-PH0001.2008,B-3-2,总谱 分谱,,,,,,,,solo广泛可合奏可独奏：高胡 洞箫 古筝与合唱,"广东,李复斌原创"
219,平湖秋月,民族管弦乐,吕文成,,李复斌,CO-PH0001.2009,B-3-2,总谱,,,,,,,,,广东
220,平湖秋月,民族管弦乐,吕文成,,李复斌,CO-PH0001.2011,曲库电脑,总谱,,,✓,,,,,2011出版岭南音乐,广东
221,平湖秋月,民族管弦乐,吕文成,,李复斌,CO-PH0001.2013,曲库电脑,总谱,,,✓,,,,,,广东
222,平湖秋月,民族管弦乐,吕文成,,李复斌,CO-PH0001.2016,B-3-2,分谱,,,,,,,,,广东
223,平湖秋月,民族管弦乐,吕文成,,李复斌,CO-PH0001.2016.12,B-3-2,总谱 分谱,,,,,,,,,广东
224,平湖秋月,民族管弦乐,吕文成,,李复斌,CO-PH0001.2020,曲库电脑,总谱,,✓,,,,,,,广东
225,平沙落雁（潮州传统乐曲）,民族管弦乐,,,黄唯奇 陈博,CO-PS0002,B-3-2,手写简总谱,,,,,,,,,"广东,潮州音乐"
226,平沙落雁（据《蕉庵琴谱》1864年）,民族管弦乐,,,,CO-PS0003,B-3-2,总谱,,,,,,,,演奏：张子谦 记谱：许健,"广东,潮州音乐"
227,破阵乐,民族管弦乐,李复斌,,,CO-PZ0004,曲库电脑,总谱 分谱,✓,,,,,,,,李复斌原创
228,庆典序曲,民族管弦乐,赵季平,,,CO-QD0001,B-3-2,总谱 分谱,,,,,,,,,经典作品
229,《情歌中国》MrⅢ之一二三,民族管弦乐,李复斌,,,CO-QG0002.2010,B-3-2,总谱,✓,✓,,,,,,"""巴蜀山水画""、“巴蜀风俗画”、“女儿情话” 
仅“女儿情话”有电子档",歌曲改编
230,清明上河图——商队图,民族管弦乐,史志有,,,CO-QM0003,B-3-2,总谱,,,,,,,,,清明上河图
231,清明上河图——纤夫图,民族管弦乐,史志有,,,CO-QM0003,B-3-2,手写总谱 打印总谱,,,,,,,,,清明上河图
232,清明上河图——迎客图,民族管弦乐,史志有,,,CO-QM0003,B-3-2,手写总谱,,,,,,,,,清明上河图
233,清明上河图——盛世图（乐队版）,民族管弦乐,史志有,,,CO-QM0003.2015,B-3-2,手写总谱,,,,,,,,,清明上河图
234,秋影月弄,民族管弦乐,,,,CO-QY0004,B-3-2,总谱 分谱,,,,,,,,,
235,情醉珠江,民族管弦乐,黄德兴,,李复斌,CO-QZ0005,B-3-2,总谱 分谱,,,,,,,,,广东
,青青思念,李博禅,,,,CO-QQ0006.2021,曲库电脑,总谱,✓,,,,,,,,
236,人生悟,民族管弦乐,道教音乐,李复斌,,CO-RS0001.2018,B-3-3,总谱,,,,,,,,,道教音乐
237,沙迪尔传奇（维吾尔音诗）,民族管弦乐,刘湲,,,CO-SD0001,B-3-3,总谱 分谱,,,,,,,,,新疆
238,山东小开门,民族管弦乐,,,,CO-SD0002,B-3-3,手写简总谱,,,,,,,,,山东
239,苏尔维格之歌（Solvejgs Lied),民族管弦乐,,李复斌,,CO-SE0004.2005,B-3-3,总谱 分谱,,,,,,,,,"外国作品,挪威"
240,赛龙夺锦,民族管弦乐,何柳堂,汤凯旋,,CO-SL0005.1999,B-3-3,手写简总谱,,,,,,,,,广东
241,赛龙夺锦(鼓乐大合奏）,民族管弦乐,何柳堂,,李复斌,CO-SL0005.2004,B-3-3,总谱 分谱,,,,,,,,,广东
242,赛龙夺锦(鼓乐大合奏）,民族管弦乐,何柳堂,,李复斌,CO-SL0005.2004（2）,B-3-3,分谱,,,,,,,,,广东
243,赛龙夺锦(鼓乐大合奏）,民族管弦乐,何柳堂,,李复斌,CO-SL0005.2004（3）,B-3-3,简分谱,,,,,,,,,广东
244,赛龙夺锦(广东鼓乐合奏）,民族管弦乐,何柳堂,,李复斌,CO-SL0005.2016,B-3-3,总谱,✓,,,,,,,,广东
245,赛龙夺锦（混合乐队管弦乐）,民族管弦乐,何柳堂,,李复斌,CO-SL0005.2017,B-3-3,总谱 分谱,,,,,,,,,广东
246,赛龙夺锦（小乐队）,民族管弦乐,何柳堂,,李复斌,CO-SL0005.2020,B-3-3,总谱,,,,,,,,,广东
247,赛龙夺锦（小乐队）,民族管弦乐,何柳堂,,李复斌,CO-SL0005.2021,B-3-3,总谱,,,,,,,,,广东
248,赛龙夺锦（民乐合奏）,民族管弦乐,何柳堂,,李复斌,CO-SL0005,B-3-3,简总谱,✓,✓,,,,,,,广东
249,赛龙夺锦（大合奏）,民族管弦乐,陈葆坤,,,CO-SL0005,B-3-3,手写总谱,,,,,,,,,广东
250,斯拉夫舞曲No.8选段一,民族管弦乐,勃拉姆斯,李复斌,,CO-SL0006.2005,C3-1,手写总谱,,,,,,,,,"外国作品,德国"
251,斯拉夫舞曲,民族管弦乐,勃拉姆斯,李复斌,,CO-SL0006.2005,C3-1,总谱 分谱,,,,,,,,SLAVONIC DANCES No.10 Op.72,"外国作品,德国"
252,“萨朗回响”（大乐队版）央视版,民族管弦乐,李复斌,,,CO-SL0007,C3-1,总谱,✓,,,,,,,中国风俗器乐——来自羌族文化的记忆。分谱PDF仅弹拨乐合奏声部,李复斌原创
253,萨朗回响,民族管弦乐,李复斌,,,CO-SL0007,C3-1,总谱,,,,,,,,,李复斌原创
254,赛马,民族管弦乐,,,,CO-SM0008,C3-1,简分,,,,,,,,,经典作品
255,赛马（北方民族生活素描 ）,民族管弦乐,刘锡津,,,CO-SM0009,C3-1,总谱,,,,,,,,,
256,抒情变奏曲,民族管弦乐,刘长远,,,CO-SQ0010,C3-1,总谱,,,,,,,,,
257,生日歌Happy Birthday,民族管弦乐,,李复斌,,CO-SR0011,C3-1,总谱 分谱,,,,,,,,,"外国作品,节日"
258,塞山铁骑（合奏）,民族管弦乐,,郭志刚,,CO-SS0012.2005,C3-1,总谱,,,,,,,,,
259,山之风,民族管弦乐,李复斌,,,CO-SZ0013,C3-1,总谱 分谱,✓,✓,,,,,,线谱、简谱皆有PDF与sib,李复斌原创
260,山寨之夜,民族管弦乐,李复斌,,,CO-SZ0014,C3-1,总谱,,,,,,,,,李复斌原创
261,山寨之夜,民族管弦乐,李复斌,,,CO-SZ0014,C3-1,分谱,,,,,,,,,李复斌原创
262,狮子王Mv.2掠夺,民族管弦乐,英尔顿·约翰（英）Elton John,,李复斌,CO-SZ0015.2017,C3-1,总谱,,,,,,,,,"外国作品,影视"
263,四季岭南（全套）,民族管弦乐,李复斌,,,CO-SJ0016,曲库电脑,总谱 分谱,✓,✓,,,,,,两首序曲+8首,"广东,李复斌原创"
264,斯拉夫舞曲No.10 Op72,民族管弦乐,勃拉姆斯,李复斌,,CO-SL0006.2005,C3-1,总谱 分谱,,,,,,,,SLAVONIC DANCES No.10 Op.72,"外国作品,德国"
265,狮子王Mv.1-5,民族管弦乐,英尔顿·约翰（英）Elton John,李复斌,,CO-SZ0018,,总谱 分谱,,,,,,,,,"外国作品,影视"
266,赛龙夺锦,民族管弦乐,何柳堂,李复斌,,CO-SL0019,,总谱 手写简总谱,,,,,,,,,广东
,山鹰之歌,民族管弦乐,丹尼埃尔 阿洛米亚 罗布莱斯,李复斌,,CO-SY0020.2025,曲库电脑,总谱,,✓,,,,,,,"2025教材,2级,外国作品,秘鲁"
267,土楼风火,民族管弦乐,,,,CO-TL0001,C3-2,总谱 分谱,,,,,,,,,广东
268,太阳颂,民族管弦乐,王丹红,,,CO-TY0002,C3-2,总谱,,,,,,,,第三乐章思念、第四乐章太阳颂,重庆
269,五哥放羊,民族管弦乐,山西民歌,李复斌,,CO-WG0001,C3-2,总谱 分谱,,,,,,,,,山西
270,晚会,民族管弦乐,贺绿汀,,周仲康,CO-WH0002,C3-2,简总谱,,,,,,,,,
271,万绿山水（民乐七重奏）,民族管弦乐,房晓敏,,,CO-WL0003.2018,C3-2,总谱,,,,,,,,,广东
272,万年欢,民族管弦乐,刘汉林,,李家华,CO-WN0004,C3-2,手写总谱,,,,,,,,,山东
273,维吾尔音诗,民族管弦乐,刘湲,,,CO-WW0005,C3-2,总谱,,,,,,,,,新疆
274,午夜的萨克斯,民族管弦乐,,,梁军,CO-WY0006,C3-2,总谱,,,,,,,,,外国作品
275,王者荣耀Mv Ⅰ王者荣耀,民族管弦乐,,,李复斌,CO-WZ0007.2013,C3-2,总谱,✓,✓,,,,,,同档案盒,游戏
276,王者荣耀Mv Ⅱ王者雪魄,民族管弦乐,,,李复斌,CO-WZ0007.2022,C3-2,总谱,✓,✓,,,,,,,游戏
277,西北组曲,民族管弦乐,谭盾,,,CO-XB0001,B4-1,总谱,,,,,,,,,西北
278,新春乐（经典民族乐曲）,民族管弦乐,,,黎俊平,CO-XC0002,B4-1,总谱,,,,,,,,,"河北,经典作品"
279,新疆情歌三首,民族管弦乐,新疆哈萨克族民歌,,丁家琳,CO-XJ0003,B4-1,总谱,,,,,,,,美丽的姑娘、草原之夜、马车夫之歌,"歌曲改编,新疆"
280,新疆歌曲组曲,民族管弦乐,,,顾冠仁,CO-XJ0004,B4-1,总谱 分谱,,,,,,,,,"歌曲改编,新疆"
281,闲聊波尔卡,民族管弦乐,Johann Strauss,李复斌,,CO-XL0005,B4-1,总谱 分谱,,,,,,,,,"外国作品,奥地利"
282,序曲（党建90周年）,民族管弦乐,,,,CO-XQ0006,B4-1,总谱,,,,,,,,,
283,序曲（党建90周年）,民族管弦乐,,,,CO-XQ0006（2）,B4-1,总谱 分谱,,,,,,,,,
284,喜庆丰收年,民族管弦乐,王高林,,李复斌,CO-XQ0007.2010,B4-1,总谱 分谱,,,,,,,,,
285,醒狮起舞（交响序曲）,民族管弦乐,杨晓,,,CO-XS0008.2012,B4-1,总谱 分谱,,,,,,,,,广东
286,醒狮·龙舟,民族管弦乐,李复斌,,,CO-XS0009.2014,B4-1,总谱 分谱,,,,,,,,,广东
287,醒狮·龙舟,民族管弦乐,李复斌,,,CO-XS0009.2015,B4-1,总谱,,,,,,,,,广东
288,醒狮·龙舟,民族管弦乐,李复斌,,,CO-XS0009.2016,B4-1,总谱,,,,,,,,,广东
289,醒狮·龙舟,民族管弦乐,李复斌,,,CO-XS0009.2017,B4-1,总谱,,,,,,,,,广东
290,醒狮·龙舟,民族管弦乐,李复斌,,,CO-XS0009.2021,B4-1,总谱,✓,✓,,,,,,,广东
291,醒狮·龙舟,民族管弦乐,,,,CO-XS0009,B4-2,总谱 分谱,,,,,,,,,广东
292,醒狮·龙舟,民族管弦乐,,,,CO-XS0009,B4-2,总谱,,,,,,,,,广东
293,醒狮·龙舟（混编管弦乐）,民族管弦乐,李复斌,,,CO-XS0009,B4-2,总谱 分谱,,,,,,,,,广东
294,匈牙利舞曲No.5,民族管弦乐,勃拉姆斯,顾冠仁,,CO-XY0010.1999,B4-2,手写总谱 手写简分谱,,,,,,,,,"外国作品,德国"
295,匈牙利舞曲第五号,民族管弦乐,勃拉姆斯,,李复斌,CO-XY0011.2019,B4-2,总谱,✓,✓,,,,,,,"外国作品,德国"
296,响宴,民族管弦乐,喜多郎（日）,,李复斌,CO-XY0012.2008,B4-2,总谱 分谱,✓,✓,✓,,,,,,"外国作品,日本"
297,新春锣鼓,民族管弦乐,陈葆坤,,,CO-XC0013,B4-2,总谱,,,,,,,,,广东
298,月光光·照羊城,民族管弦乐,广东童谣,,李复斌,CO-YG0001.2019,B4-2,分谱,,,,,,,,,"广东,童谣"
299,月光,民族管弦乐,,李复斌,,CO-YG0002.2000,B4-2,总谱 分谱,,,,,,,,,
300,粤港澳三首联奏,民族管弦乐,,,梁军,CO-YG0003,B4-2,总谱,,,,,,,,,"广东,歌曲改编"
301,玉龙图腾·火凤凰,民族管弦乐,李复斌,,,CO-YL0004.2024,B4-2,总谱,,,,,,,,,李复斌原创
302,娱乐升平（合奏）,民族管弦乐,李复斌,,,CO-YL0005.2008,B4-2,总谱 分谱,,,,,,,,,广东
303,娱乐升平（合奏）,民族管弦乐,李复斌,,,CO-YL0005.2008(2),B4-2,总谱 分谱,,,,,,,,,广东
304,娱乐升平（民族管弦乐）,民族管弦乐,丘鹤俦,,李复斌,CO-YL0005.2017,B4-3,总谱,✓,✓,,,,,,,广东
305,娱乐升平（民族管弦乐）,中西混编管弦乐,丘鹤俦,,李复斌,CO-YL0005.2020,B4-3,总谱,✓,✓,,,,,,,广东
306,曲四、娱乐升平,民族管弦乐,李复斌,,,CO-YL0005,B4-3,总谱,,,,,,,,,广东
307,娱乐升平（粤茶·娱乐升平）,民族管弦乐,李复斌,,,CO-YL0005.2022,B4-3,总谱,✓,✓,,,,,,,广东
308,云南风情,民族管弦乐,关乃忠,,李复斌,CO-YN0006,B4-3,总谱 分谱,,,,,,,,第一乐章《过山调》、第二乐章《夜歌》、第三乐章《闹元宵》,云南
309,云南音诗——火把节,民族管弦乐,王西麟,,李复斌,CO-YN0007,B4-3,总谱,,,,,,,,,云南
310,云南音诗——火把节（第二版）,民族管弦乐,王西麟,,李复斌,CO-YN0007,B4-3,总谱 分谱,,,,,,,,,
,云南音诗——火把节,民族管弦乐,王西麟,,李复斌,CO-YN0007.2025,曲库电脑,总谱 分谱,✓,✓,,,,,,,
311,夜深沉,民族管弦乐,吴华,,,CO-YS0008,B4-3,总谱,,,,,,,,,京剧曲牌
312,影视歌曲四首,民族管弦乐,,,李复斌,CO-YS0009.2019,B4-3,总谱,,,,,,,,电视剧《公关小姐》之奉献、蓝精灵之歌、电影《建国大业》之追寻、《我爱你·中国》,"影视,歌曲改编"
313,影视歌曲四首,民族管弦乐,,,李复斌,CO-YS0009.2019（2）,B4-3,总谱 分谱,,,,,,,,电视剧《公关小姐》之奉献、蓝精灵之歌、电影《建国大业》之追寻、《我爱你·中国》,"影视,歌曲改编"
314,迎仙客（广东汉乐）,民族管弦乐,,,李复斌,CO-YX0010,B4-3,总谱 分谱,,,,,,,,,"广东,广东汉乐"
315,月圆曲（广东汉乐合奏）,民族管弦乐,李复斌,,,CO-YY0011.2010,B4-3,总谱,,,,,,,,,"广东,广东汉乐"
,月圆曲（广东音乐）,民族管弦乐,李复斌,,,CO-YY0011.2025,曲库电脑,总谱,,✔️,,,,,,,
316,粤韵 茶韵 西关风情,民族管弦乐,李复斌,,,CO-YY0012.2009,B4-3,总谱 分谱,,,,,,,,,广东
317,渔舟凯歌,民族管弦乐,浙江歌舞团,,中央乐团,CO-YZ0013,C4-1,手写总谱 手写简分谱,,,,,,,,,浙江
318,瑶族舞曲,民族管弦乐,刘铁山 茅沅,李复斌,,CO-YZ0014,C4-1,总谱 简总谱,,,,,,,,总谱缺第2页,"广东,经典作品"
